,dt,totq,nota,nota_rate,a_rate
0,2020-11-01,4106,502,12.226,87.774
1,2020-11-02,6338,905,14.279,85.721
2,2020-11-03,6804,872,12.816,87.184
3,2020-11-04,6674,901,13.5,86.5
4,2020-11-05,6866,938,13.662,86.338
5,2020-11-06,6070,769,12.669,87.331
6,2020-11-07,3935,483,12.274,87.726
7,2020-11-08,4108,557,13.559,86.441
8,2020-11-09,6325,930,14.704,85.29599999999999
9,2020-11-10,6772,983,14.516,85.484
10,2020-11-11,6901,991,14.36,85.64
11,2020-11-12,6916,923,13.346,86.654
12,2020-11-13,6214,789,12.697,87.303
13,2020-11-14,4069,543,13.345,86.655
14,2020-11-15,4363,594,13.614,86.386
15,2020-11-16,6473,910,14.058,85.94200000000001
16,2020-11-17,7004,986,14.078,85.922
17,2020-11-18,7214,1020,14.139,85.861
18,2020-11-19,7319,1001,13.677,86.32300000000001
19,2020-11-20,6724,956,14.218,85.782
20,2020-11-21,4145,512,12.352,87.648
21,2020-11-22,4470,586,13.11,86.89
22,2020-11-23,7068,964,13.639,86.361
23,2020-11-24,7158,1028,14.362,85.638
24,2020-11-25,7033,1006,14.304,85.696
25,2020-11-26,6205,920,14.827,85.173
26,2020-11-27,5708,812,14.226,85.774
27,2020-11-28,4053,537,13.249,86.751
28,2020-11-29,4225,617,14.604,85.396
29,2020-11-30,6308,1014,16.075,83.925
30,2020-12-01,6960,954,13.707,86.293
31,2020-12-02,6979,1071,15.346,84.654
32,2020-12-03,7322,1131,15.447,84.553
33,2020-12-04,6571,946,14.397,85.603
34,2020-12-05,4343,569,13.102,86.898
35,2020-12-06,4380,589,13.447,86.553
36,2020-12-07,6590,957,14.522,85.478
37,2020-12-08,7048,1003,14.231,85.769
38,2020-12-09,7102,1025,14.433,85.56700000000001
39,2020-12-10,6845,1012,14.785,85.215
40,2020-12-11,6339,868,13.693,86.307
41,2020-12-12,4246,559,13.165,86.83500000000001
42,2020-12-13,4381,583,13.307,86.693
43,2020-12-14,6598,936,14.186,85.814
44,2020-12-15,6965,1020,14.645,85.355
45,2020-12-16,6971,981,14.073,85.92699999999999
46,2020-12-17,7120,1025,14.396,85.604
47,2020-12-18,6091,851,13.971,86.029
48,2020-12-19,4107,546,13.294,86.706
49,2020-12-20,4077,536,13.147,86.853
50,2020-12-21,6263,829,13.236,86.764
51,2020-12-22,6463,935,14.467,85.533
52,2020-12-23,6065,791,13.042,86.958
53,2020-12-24,4646,583,12.548,87.452
54,2020-12-25,3240,393,12.13,87.87
55,2020-12-26,3534,451,12.762,87.238
56,2020-12-27,3883,496,12.774,87.226
57,2020-12-28,5552,696,12.536,87.464
58,2020-12-29,5829,801,13.742,86.258
59,2020-12-30,5745,728,12.672,87.328
60,2020-12-31,4569,641,14.029,85.971
61,2021-01-01,3254,439,13.491,86.509
62,2021-01-02,4253,522,12.274,87.726
63,2021-01-03,4378,570,13.02,86.98
64,2021-01-04,6065,829,13.669,86.331
65,2021-01-05,6833,964,14.108,85.892
66,2021-01-06,6861,1039,15.144,84.856
67,2021-01-07,6714,945,14.075,85.925
68,2021-01-08,6797,990,14.565,85.435
69,2021-01-09,4398,564,12.824,87.176
70,2021-01-10,4439,600,13.517,86.483
71,2021-01-11,6497,876,13.483,86.517
72,2021-01-12,7213,932,12.921,87.07900000000001
73,2021-01-13,7121,993,13.945,86.055
74,2021-01-14,6850,896,13.08,86.92
75,2021-01-15,6540,839,12.829,87.17099999999999
76,2021-01-16,4324,557,12.882,87.118
77,2021-01-17,4372,595,13.609,86.391
78,2021-01-18,6544,963,14.716,85.284
79,2021-01-19,6882,971,14.109,85.891
80,2021-01-20,7247,1057,14.585,85.41499999999999
81,2021-01-21,7290,1055,14.472,85.528
82,2021-01-22,6836,982,14.365,85.635
83,2021-01-23,4645,568,12.228,87.772
84,2021-01-24,4612,637,13.812,86.188
85,2021-01-25,6712,971,14.467,85.533
86,2021-01-26,6878,1016,14.772,85.228
87,2021-01-27,7309,1052,14.393,85.607
88,2021-01-28,7175,1066,14.857,85.143
89,2021-01-29,6422,935,14.559,85.441
90,2021-01-30,4371,573,13.109,86.891
91,2021-01-31,4335,558,12.872,87.128
92,2021-02-01,6467,951,14.705,85.295
93,2021-02-02,6957,1067,15.337,84.663
94,2021-02-03,7252,1077,14.851,85.149
95,2021-02-04,7174,1052,14.664,85.336
96,2021-02-05,6600,903,13.682,86.318
97,2021-02-06,4325,597,13.803,86.197
98,2021-02-07,4388,585,13.332,86.668
99,2021-02-08,6546,965,14.742,85.258
100,2021-02-09,7234,1008,13.934,86.066
101,2021-02-10,7146,1044,14.61,85.39
102,2021-02-11,7221,1072,14.846,85.154
103,2021-02-12,6405,912,14.239,85.761
104,2021-02-13,4145,521,12.569,87.431
105,2021-02-14,4017,489,12.173,87.827
106,2021-02-15,6260,931,14.872,85.128
107,2021-02-16,6751,1037,15.361,84.639
108,2021-02-17,7029,1025,14.582,85.418
109,2021-02-18,7413,1034,13.948,86.05199999999999
110,2021-02-19,6666,900,13.501,86.499
111,2021-02-20,4451,577,12.963,87.037
112,2021-02-21,4241,585,13.794,86.206
113,2021-02-22,6575,1035,15.741,84.259
114,2021-02-23,6858,1029,15.004,84.996
115,2021-02-24,7183,1093,15.216,84.784
116,2021-02-25,7034,1090,15.496,84.504
117,2021-02-26,6420,942,14.673,85.327
118,2021-02-27,4029,569,14.123,85.877
119,2021-02-28,4195,588,14.017,85.983
120,2021-03-01,6686,977,14.613,85.387
121,2021-03-02,6941,1051,15.142,84.858
122,2021-03-03,7155,1152,16.101,83.899
123,2021-03-04,7343,1126,15.334,84.666
124,2021-03-05,6582,1043,15.846,84.154
125,2021-03-06,4356,604,13.866,86.134
126,2021-03-07,4188,636,15.186,84.814
127,2021-03-08,6495,1026,15.797,84.203
128,2021-03-09,6952,1082,15.564,84.436
129,2021-03-10,7308,1147,15.695,84.305
130,2021-03-11,7245,1173,16.19,83.81
131,2021-03-12,6822,1011,14.82,85.18
132,2021-03-13,4339,591,13.621,86.379
133,2021-03-14,4355,600,13.777,86.223
134,2021-03-15,6670,999,14.978,85.022
135,2021-03-16,7128,1116,15.657,84.343
136,2021-03-17,7198,1065,14.796,85.20400000000001
137,2021-03-18,7050,1133,16.071,83.929
138,2021-03-19,6476,1029,15.889,84.111
139,2021-03-20,4166,576,13.826,86.174
140,2021-03-21,4380,627,14.315,85.685
141,2021-03-22,6689,998,14.92,85.08
142,2021-03-23,6895,1071,15.533,84.467
143,2021-03-24,7246,1105,15.25,84.75
144,2021-03-25,7110,1085,15.26,84.74
145,2021-03-26,6590,951,14.431,85.569
146,2021-03-27,4018,556,13.838,86.162
147,2021-03-28,3890,538,13.83,86.17
148,2021-03-29,6328,989,15.629,84.371
149,2021-03-30,6478,1001,15.452,84.548
150,2021-03-31,6835,1044,15.274,84.726
151,2021-04-01,6290,912,14.499,85.501
152,2021-04-02,5461,770,14.1,85.9
153,2021-04-03,4033,555,13.761,86.239
154,2021-04-04,3910,537,13.734,86.266
155,2021-04-05,5497,865,15.736,84.264
156,2021-04-06,6691,996,14.886,85.114
157,2021-04-07,7024,1062,15.12,84.88
158,2021-04-08,6895,1020,14.793,85.207
159,2021-04-09,6498,945,14.543,85.457
160,2021-04-10,4124,595,14.428,85.572
161,2021-04-11,4317,576,13.343,86.657
162,2021-04-12,6262,1006,16.065,83.935
163,2021-04-13,6632,1057,15.938,84.062
164,2021-04-14,6549,1016,15.514,84.486
165,2021-04-15,6737,1068,15.853,84.147
166,2021-04-16,6501,1023,15.736,84.264
167,2021-04-17,4113,625,15.196,84.804
168,2021-04-18,4024,582,14.463,85.537
169,2021-04-19,6207,990,15.95,84.05
170,2021-04-20,6615,1054,15.933,84.06700000000001
171,2021-04-21,7002,1139,16.267,83.733
172,2021-04-22,6935,1039,14.982,85.018
173,2021-04-23,6269,895,14.277,85.723
174,2021-04-24,3980,603,15.151,84.849
175,2021-04-25,4216,617,14.635,85.365
176,2021-04-26,6223,1015,16.31,83.69
177,2021-04-27,6693,1047,15.643,84.357
178,2021-04-28,6836,1021,14.936,85.064
179,2021-04-29,6907,1098,15.897,84.103
180,2021-04-30,5999,926,15.436,84.564
181,2021-05-01,3935,602,15.299,84.701
182,2021-05-02,3977,559,14.056,85.944
183,2021-05-03,5793,889,15.346,84.654
184,2021-05-04,6445,981,15.221,84.779
185,2021-05-05,6580,1032,15.684,84.316
186,2021-05-06,6994,1101,15.742,84.258
187,2021-05-07,6005,943,15.704,84.29599999999999
188,2021-05-08,3971,566,14.253,85.747
189,2021-05-09,3952,563,14.246,85.754
190,2021-05-10,6211,973,15.666,84.334
191,2021-05-11,6693,1013,15.135,84.865
192,2021-05-12,6703,947,14.128,85.872
193,2021-05-13,5972,933,15.623,84.377
194,2021-05-14,5786,858,14.829,85.17099999999999
195,2021-05-15,3973,558,14.045,85.955
196,2021-05-16,4035,596,14.771,85.229
197,2021-05-17,6279,968,15.416,84.584
198,2021-05-18,6840,1056,15.439,84.561
199,2021-05-19,6732,1023,15.196,84.804
200,2021-05-20,6822,1100,16.124,83.876
201,2021-05-21,6378,876,13.735,86.265
202,2021-05-22,4021,511,12.708,87.292
203,2021-05-23,4011,601,14.984,85.016
204,2021-05-24,5733,858,14.966,85.034
